abide abode,abided abided
arise arose arisen
awake awoke awoken
be was,were been
bear bore borne
beat beat beaten
become became become
begin began begun
behold beheld beheld
bend bent bent
bereave bereft,bereaved bereft,bereaved
beseech besought,beseeched besought,beseeched
beset beset beset
bet bet bet
bid bid,bade bidden
bind bound bound
bite bit bitten
bleed bled bled
blow  blew blown
break broke broken
breed bred bred
bring brought brought
build built built
burn burned,burnt burned,burnt
burst burst burst
bust busted,bust busted,bust
buy bought bought
